"codigosubtema","nombresubtema","codigotema","descripcionsubtema"
"200","Asesoramiento, cooperación y representación","1","Asesorar, cooperar y representar los intereses públicos en el sistema de justicia nacional y a nivel internacional."
"201","Justicia Militar","1","Ejecutar la administración de la Justicia Militar"
"202","Prestación de Servicios de Justicia","1","Juzgar y hacer ejecutar lo juzgado a través de los Tribunales de todo el país"
"203","Gestión Adm, Serv apoyo a Tribunales y Defensorías Pcas","1","Administrar los recursos del Poder Judicial y realizar las funciones técnicas de apoyo a los tribunales así como la Defensa Pública"
"204","Justicia Administrativa","1","Ejercer la función jurisdiccional en materia contencioso administrativo"
"1001","Cámara de Senadores","2","Cámara de Senadores"
"1004","Cámara de Representantes","2","Cámara de Representantes"
"1006","Comision Administ. Poder Legislativo - Sueldos y Gastos","2","Comision Administ. Poder Legislativo - Sueldos y Gastos"
"1007","Comisionado Parlamentario-Sueldo y Gastos","2","Comisionado Parlamentario-Sueldo y Gastos"
"1008","Institución Nacional de DDHH y Defensoría del Pueblo INDDHH","2","Institución Nacional de DDHH y Defensoría del Pueblo INDDHH"
"240","Investigación fundamental","3","Desarrollar y fortalecer las actividades de apoyo a la investigación fundamental y su divulgación"
"241","Fomento a la investigación académica","3","Fortalecer la producción nacional de conocimiento científico-tecnológico"
"260","Control de la gestión","4","Realizar actividades de  auditoria, control, investigación, y propuesta de correctivos tendientes a generar un entorno económico transparente y confiable, protegiendo tanto la hacienda pública, como los derechos de  consumidores e inversores en beneficio"
"261","Protección derechos de los consumidores","4","Ejecutar y diseñar políticas dirigidas al seguimiento, difusión y cumplimiento de normas e informaciones de interés para el consumidor, de forma tal de lograr el equilibrio en las relaciones de consumo,  procurando mayor información y transparencia en el funcionamiento del mercado, eliminando los posibles abusos del sistema y las prácticas anticompetitivas"
"262","Control de asuntos fiscales, financ y gestión inst del Estado","4","Asesorar en materia económico y financiera del Estado y sobre Normas y Conductas de la Función Pública"
"263","Control de organismos que administran o reciben fondos públicos","4","Realizar el contralor económico, financiero, de legalidad y de gestión de los organismos que administran o reciben fondos públicos."
"280","Bienes y servicios culturales","5","Aumentar el nivel de producción y disfrute de los bienes y servicios culturales por parte de los ciudadanos, en todo el territorio nacional, protegiendo y promoviendo el desarrollo de los derechos culturales, la calidad y la diversidad cultural"
"281","Institucionalidad cultural","5","Contribuir al desarrollo, a la preservación y a la difusión del acervo cultural de las instituciones culturales públicas y privadas, así como el estímulo de la interacción público-privado"
"282","Deporte comunitario","5"," Descentralizar la gestión del deporte al ámbito local, promover la participación ciudadana y el fortalecimiento de las organizaciones deportivas y ampliar la oferta de programas garantizando equidad de género e inclusión social."
"283","Deporte federado","5","Promover, en conjunto con las federaciones uruguayas, el desarrollo del deporte en todo el país, en especial con niños, jóvenes y mujeres, a través del fortalecimiento institucional y la profesionalización de su gobernanza"
"300","Defensa Nacional","6","Mantener un poder de disuasión sustentable y eficaz basado en el desarrollo y mantenimiento de las capacidades en favor de la defensa."
"320","Fortalecimiento de la base productiva de bienes y servicios","7","Desarrollar políticas transversales que estimulen el fortalecimiento de la estructura productiva en su conjunto, con foco en la competitividad y en el ambiente requerido para el fomento de la inversión productiva y tecnológica"
"321","Cadenas de valor intensivas en innovación","7","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor intensivas en innovación"
"322","Cadenas de valor motores de crecimiento","7","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor consideradas motores del crecimiento"
"323","Cad. de valor generadoras de empleo y desarrollo prod local","7","Desarrollar políticas activas de especialización productiva de corte sectorial en cadenas de valor generadoras de empleo y desarrollo productivo local"
"1","Consejo Directivo Central","8","El Consejo Directivo Central, de acuerdo a la Ley General de Educación Nº 18.437, es el órgano rector de la Administración Nacional de Educación Pública.
El Consejo Directivo Central tiene la tarea de definir las orientaciones generales de los niveles y modalidades educativas que se encuentran en su órbita a las que se deberán ajustar los planes y programas que propongan los consejos de educación. Los cometidos de éste órgano están descriptos en el artículo 59 de la Ley General de Educación, integrando el Sistema Nacional de Educación Pública y debiendo contemplar la líneas transversales establecidas en la Ley Nº 18.437."
"2","Educacion Inicial y Primaria","8","El Consejo de Educación Inicial y Primaria tiene a su cargo la cobertura pública de la educación básica a nivel nacional, considerando la obligatoriedad constitucional que establece la asistencia del menor a la escuela, y atendiendo a la población de las siguientes áreas: Educación Inicial, Educación Primaria y Educación Especial."
"3","Educación secundaria","8","Compete a este Consejo impartir la Educación Secundaria pública en todo el territorio nacional, en dos ciclos: Ciclo Básico obligatorio y Educación Media Superior.
La población a la que está dirigida son aquellas personas que acrediten haber aprobado el Ciclo de Educación Primaria.
Es la principal responsabilidad del Consejo de Educación Secundaria la formación de ciudadanos para la participación en una sociedad democrática y solidaria, promoviendo el desarrollo de la personalidad del educando, la igualdad de oportunidades, la equidad de género, el respeto por las diversidades y la integración de los sectores sociales de las culturas propias de todos los actores.
La habilitación y supervisión de la Educación Media Privada. Así como la administración de los servicios y dependencias a su cargo."
"4","Educación técnico-profesional","8","El Consejo de Educación Técnico Profesional (Universidad del Trabajo del Uruguay), de acuerdo con las potestades conferidas por la Ley de Educación 15739, es responsable desde el Estado, del la Educación Técnica y Profesional. Tiene como cometido ofrecer una Educación científico-técnico-tecnológica profesional pertinente, de calidad, en concordancia con los lineamientos estratégicos nacionales en lo social y productivo. Desde esta perspectiva, la Universidad del Trabajo del Uruguay, se abocará a desarrollar políticas educativas diferenciadas e innovadoras, con propuestas formativas que atiendan todas las dimensiones del Ser Humano. Que posibilite a jóvenes y adultos la participación democrática como ser social y su inserción real en la producción, las artes y los servicios, con el conocimiento no sólo como valor agregado, sino como elemento esencial para integrarse crítica y constructivamente al mundo del trabajo."
"5","Formación en Educación","8","Formación de profesionales de la educación, incluyendo la formación de educadores sociales.
La Ley General de Educación Nº 18.43, en su artículo nro. 31 define la formación en educación. Ésta... "se concebirá como enseñanza terciaria universitaria y abarcará la formación de maestros, maestros técnicos, profesores, profesores de educación física y educadores sociales, así como de otras formaciones que el Sistema Nacional de Educación requiera"."
"340","Acceso a la Educación","8","Objetivos del Programa:
1.Mejorar el acceso al derecho a la educación en la primera infancia, especialmente a la población en situación de vulnerabilidad.
2.Garantizar el acceso al derecho a la educación formal en los tramos obligatorios a todos los habitantes del país y mejorar el acceso al derecho a la educación terciaria
3.Mejorar el acceso al derecho a la educación no formal"
"341","Calidad de la Educación","8","Desarrollar políticas educativas para:
1. Mejorar la calidad de las propuestas educativas en la educación en la primera infancia.
2. Mejorar los niveles de aprendizaje y  la calidad de las propuestas educativas en la educación formal.
3. Mejorar la calidad de las propuestas educativas en la educación no formal."
"342","Coordinación de la Educación","8","Desarrollar políticas para: 
1. Mejorar el funcionamiento del Sistema Nacional de Educación. 
2. Mejorar la elaboración de políticas educativas nacionales. 
3. Mejorar la participación nacional en los ámbitos internacionales de educación."
"343","Formación y Capacitación","8","Brindar formación y capacitación en áreas específicas"
"344","Educación inicial","8","Estimular el desarrollo afectivo, social, motriz e intelectual en niños/as menores de 5 años con el propósito de facilitar la transición entre el hogar y la Educación Primaria"
"345","Educación primaria","8","Brindar los conocimientos básicos y desarrollar principalmente la comunicación y el razonamiento que permitan la convivencia responsable en la comunidad"
"346","Educación media","8","Profundizar el desarrollo de las competencias y los conocimientos adquiridos en el nivel primario, promoviendo el dominio teórico-práctico de diferentes disciplinas y tendiendo hacia un mayor grado de orientación o especialización"
"347","Académico","8","Desarrollar las actividades sustantivas universitarias  de enseñanza, investigación y extensión de manera integral,  así como también la gestión,  en cada uno de los Servicios universitarios"
"348","Desarrollo Institucional","8","Impulsar las políticas globales de la institución relacionadas con el desarrollo equilibrado de las funciones universitarias, el crecimiento de las actividades de investigación e innovación, la mejora de los instrumentos y condiciones  de formación de sus estudiantes, el afianzamiento de un cuerpo docente de alta calidad y el fortalecimiento de la extensión universitaria.
Promover la comunicación institucional así como las vinculaciones regionales e internacionales de la UDELAR.
Modernizar la estructura académica. Mejorar la gestión instrumentando sistemas administrativos de alta calidad, profundizando la capacitación y el desarrollo de los funcionarios técnicos, administrativos y de servicios."
"349","Bienestar Universitario","8","Optimizar las condiciones de estudio y trabajo en la Institución, actividades de esparcimiento y relacionamiento social, cultura y deporte; fortaleciendo la formación integral de sus estudiantes y funcionarios y su integración efectiva a la vida universitaria.
Promover mayor equidad en el ingreso efectivo, fortaleciendo los programas de becas para estudiantes.
Fomentar la participación en el cogobierno universitario.
Desarrollar programas que atiendan los aspectos de Seguridad y Salud Laboral para el mejor desempeño de las actividades universitarias."
"350","Atención a la Salud en el Hospital de Clínicas","8","Contribuir a mejorar la atención a la salud de la población, con su perfil de hospital de alta complejidad y de referencia nacional, fortaleciendo el eje público del Sistema Nacional Integrado de Salud, participando en la formación de los recursos humanos en salud y la generación y aplicación de nuevos conocimientos, con alto contenido ético y de responsabilidad social"
"351","Desarrollo de la Universidad en el interior del país","8","Impulsar fuertemente el desarrollo de la enseñanza, la investigación y la extensión en todo el territorio nacional, contribuyendo a dar respuestas eficaces a los problemas nacionales priorizados en las diferentes áreas del conocimiento. Esta contribución se llevará a cabo a través de la creación de centros universitarios regionales, polos de desarrollo universitarios, programas regionales de enseñanza terciaria y la introducción del dictado de carreras universitarias en los centros regionales, entre otros."
"352","Inversiones en infraestructura edilicia","8","Ampliar y modernizar la planta física, mejorar la red de comunicación y disponer del equipamiento adecuado para formar a los estudiantes universitarios de las próximas décadas y para desarrollar las actividades de investigación, extensión e innovación que requiere el Uruguay.
Las construcciones previstas en todo el país respaldarán las acciones de toda la Enseñanza Pública orientadas a generalizar la enseñanza terciaria y universitaria en todo el territorio. Se priorizará aquellos servicios universitarios con mayor insuficiencia locativa y muy particularmente en el Interior de la República.
Estos  objetivos se materializarán mediante la continuidad de un  Plan de Obras de Mediano y Largo Plazo ya  existente en la Universidad  para el período 2011-2020. 
"
"353","Desarrollo académico","8","Contribuir al desarrollo sustentable del país mediante actividades de enseñanza pública terciaria y terciaria universitaria en las diversas áreas del conocimiento, junto a la investigación, la innovación y el servicio al medio social."
"354","SNIC - Formación y Servicios para la Infancia","8","Desarrollar una oferta de formación para el trabajo en cuidados que sea transversal al sistema, permita aumentar la cobertura y elevar la calidad de los servicios prestados y mejorar las condiciones de trabajo y la trayectoria educativa de quiénes se desempeñan en el sector. Implementar servicios de cuidado de calidad para la primera infancia, que estimulen el desarrollo de los niños y niñas, faciliten su acceso a la educación y brinden a los hogares una alternativa corresponsable de cuidados."
"601","Administración de la Educación y Gestión de Políticas Transversales","8"," "
"602","Educación Inicial","8"," "
"603","Educación Primaria","8"," "
"604","Educación Media Básica General - Tecnológica","8"," "
"605","Educación Media Superior General - Tecnológica","8"," "
"606","Educación Terciaria","8"," "
"607","Formación en Educación","8"," "
"608","Inversiones edilicias y equipamiento","8"," "
"360","Gestión y Planificación","9","Desarrollar la gestión de apoyo y planificación de los programas de infraesturctura y transporte, coordinando las acciones vinculadas con la administración de los recursos humanos, materiales y financieros"
"361","Infraestructura Comunitaria","9","Desarrollar la infraestructura comunitaria con el propósito de mejorar las condiciones de vida de la población y profundizar la participación de la ciudadanía en la resolución de las prioridades de las respectivas comunidades"
"362","Infraestructura vial","9","Recuperar, mantener y desarrollar la infraestructura vial nacional (carreteras y puentes) en condiciones que permitan el desarrollo del transporte carretero con múltiples propósitos"
"363","Infraestructura fluvial y marítima","9","Mantener y desarrollar la infraestructura portuaria y las vías navegables de acuerdo a las necesidades del tranporte fluvial y marítimo para múltiples propósitos y administrar los álveos de domino público"
"365","Infraestructura edilicia","9","Conservar y desarrollar la infraestructura edilicia pública para el adecuado cumplimiento de los respectivos cometidos de los organismos del Estado, así como otras obras de interés público"
"366","Sistema de transporte","9","Diseñar, ejecutar y controlar la política de transporte en sus diversos modos, con miras a lograr las condiciones para el funcionamiento eficaz y eficiente del sistema multimodal de transporte"
"367","Política e infraestructura aeronáutica","9","Ejecutar la política aeroportuaria civil nacional y mantener y desarrollar la infraestructura aeronáutica"
"368","Energía","9","Garantizar el acceso adecuado a la energía para todos los sectores sociales, productivos y regiones del país"
"369","Comunicaciones","9","Desarrollar la infraestructura y el marco regulatorio de las comunicaciones que fomente la democratización de la comunicación, la universalización del acceso y la inclusión social en la era digital y el desarrollo de las industrias del sector, promocionando el uso racional de la infraestructura de comunicaciones"
"370","Mantenimiento de la Red Vial Departamental","9","Mejorar la accesibilidad y movilidad del transporte de personas y cargas en la Red Vial de jurisdicción departamental, minimizando los costos operativos"
"371","Mantenimiento de la Red Vial Nacional y Sub nacional","9","Realizar obras viales bajo jurisdicción departamental mediante convenios con las respectivas Intendencias Departamentales que atiendan la situación de las rutas nacionales que han pasado a jurisdicción departamental, los tramos de rutas nacionales en áreas urbanas o los desvíos de tránsito de áreas urbanas, los accesos a puertos (incluyendo puertos secos), áreas de control integrados de cargas o pasajeros y terminales de intercambio de mercadería, a través de convenios con las Intendencias Departamentales"
"372","Caminería Departamental","9","Realizar obras viales en caminos departamentales,  y  tramos de rutas nacionales en su atravesamiento por áreas urbanas  o desvíos de transporte de carga en áreas urbanas así como accesos a instalaciones de operación logística"
"380","Gestión Ambiental y ordenación del territorio","10","Proteger el ambiente, promoviendo el uso sostenible y equitativo de los recursos naturales y culturales así como la integración social y productiva en el territorio"
"381","Política Ambiental Regional e Internacional","10","Participación en el desarrollo e implementación de políticas ambientales regionales e internacionales"
"382","Cambio Climático","10","Elaboración y promoción de políticas que den respuesta a la variabilidad y al cambio climático"
"400","Políticas transversales de desarrollo social","11","Desarrollar estrategias y planes de integración de niños, niñas, adolescentes, jóvenes, discapacitados, adultos mayores en las políticas sociales con un enfoque de género."
"401","Red de asistencia e integración social","11","Desarrollar y expandir una red de asistencia social que contemple situaciones de vulnerabilidad socio económica, actuando como malla de contención y promoción de derechos ciudadanos"
"402","Seguridad social","37","Prestar asistencia financiera a las instituciones de la seguridad social. Adicionalmente, comprende el desarrollo de la normativa en la materia que permita el asesoramiento, la administración y el control de las entidades de seguridad social."
"403","Sistema Nacional Integrado de Cuidados - Protección Social","11","Promover la autonomía personal, la atención de personas dependientes y el desarrollo de estrategias corresponsables de cuidado para niños y niñas que se adecúen a las necesidades y capacidades de los hogares. Fortalecer las capacidades institucionales y su mejora continua, para el logro de tales objetivos en el corto, mediano y largo plazo."
"420","Información Oficial y Documentos de interés público","12","Producir, registrar y difundir Información oficial para la ciudadanía, custodiar y conservar los documentos de interés público"
"421","Sistema de información territorial","12","Diseñar, realizar, conservar y administrar un sistema de información territorial y bienes inmuebles actualizado, con fines de ordenamiento territorial,  de planificación económica y social, fiscal y registral"
"422","Registro de Empresas","12","Registrar, gestionar y proteger la información sobre las personas jurídicas cuyas actividades son de particular interés para el Estado"
"423","Información y registro sobre personas físicas y bienes","12","Registrar, gestionar y proteger la información sobre las personas físicas, su estado civil, filiación, hechos vitales, sobre la propiedad de bienes físicos, y sobre derechos personales"
"440","Atención Integral de la Salud","13","Desarrollar estrategias que contribuyan a garantizar el acceso y la calidad de la atención integral de salud"
"441","Rectoría en Salud","13","Desarrollo de las funciones esenciales de conducción, regulación y vigilancia, así como las funciones de apoyo ministerial, para el eficaz y eficiente cumplimiento de los cometidos sustantivos"
"442","Promoción en  Salud","13","Desarrollar marcos, estrategias y acciones para mejorar la calidad de vida y disminuir el riesgo de enfermedad de la población en general así como de  grupos poblacionales en situación de vulnerabilidad"
"443","Ciencia y Tecnología de la salud","13","Desarrollar políticas de incentivo para promover la  investigación aplicada y el  desarrollo de insumos y procedimientos técnicos estratégicos para el sector  salud."
"444","Salud Ocupacional","13"," "
"460","Prevención y represión del delito","14","Desarrollar estrategias para la prevención y represión del delito"
"461","Gestión de la privación de libertad","14","Efectuar la custodia y promover la rehabilitación de quienes se hallan privados de libertad"
"462","Seguridad vial","14","Desarrollar estrategias que contribuyan a garantizar la segura movilidad de la población"
"463","Prevención y combate de fuegos y siniestros","14","Desarrollar estrategias preventivas y de acción frente a siniestros"
"480","Ejecución de la Política Exterior","480","Posicionar  al país en el exterior a través de una presencia activa en el ámbito internacional."
"481","Política de Gobierno","15","Determinación y aplicación de la política de gobierno"
"482","Regulación y Control","15","Regulación, control, fiscalización y autorización de los servicios de energía, agua, comunicaciones y de actividades que utilizan radiaciones ionizantes."
"483","Políticas de RRHH","15","Determinación y aplicación de la política de gobierno relativa a RRHH"
"484","Política de Gobierno Electrónico","15","Desarrollar políticas y promover, diseñar e implementar soluciones de Gobierno electrónico y de la Sociedad de la Información y el Conocimiento"
"485","Registro Cívico y Justicia Electoral","15","Garantizar la legitimidad y la pureza de los actos y procedimientos electorales, de plebiscito y referéndum conforme a las disposiciones constitucionales y legales, en particular preservar el Registro Cívico Nacional"
"486","Cooperación Internacional","15","Potenciar las capacidades de coordinacion, diseño, gestión, monitoreo, evaluación y de la oferta y demanda de cooperacion internacional del país alineadas con las prioridades nacionales de desarrollo"
"487","Políticas Públicas con enfoque de DDHH","15","Promover e impulsar la coordinación de los agentes estatales y la participación social, para la formulación, ejecución y evaluación de las políticas públicas con enfoque de derechos humanos"
"488","Administración Financiera","83","Determinar y aplicar las políticas de Adminstración Financiera, incluyendo el registro, pago y control de la ejecución del Presupuesto Nacional"
"489","Recaudación y Fiscalización","15","Asegurar la recaudación de los recursos del Estado y fiscalizar el tránsito de mercaderías en concordancia con la normativa aduanera vigente en el ámbito nacional e internacional"
"490","Diseño y control de la Política Económica","15","Diseñar, implementar y realizar el seguimiento de la política económica, con énfasis en materia productiva, salarial, social, fiscal, tributaria y de gestión de deuda"
"491","Regulación de los juegos de azar","15","Regular, administrar y controlar los juegos de azar"
"492","Apoyo a los Gobiernos departamentales y locales","97","Apoyar a los gobiernos departamentales para implementar políticas de descentralización y desarrollo local."
"815","Personal excedentario de ejercicios anteriores","15","Cumplimiento del Art. 723 Ley 16.736"
"500","Políticas de empleo","16","Impulsar políticas activas de empleo y formación profesional, promoviendo el diálogo social en torno a la creación de empleo, la mejora de su calidad y la empleabilidad de las personas"
"501","Relaciones y condiciones laborales","16","Contribuir de manera armónica al desarrollo de las relaciones laborales, garantizando la determinación de las condiciones de trabajo, controlando que se cumplan y apliquen las disposiciones en materia laboral y seguridad, las que se coordinan e implementan en todo el territorio nacional"
"520","Programa Nacional de Realojos","17","Diseñar y promover un programa Nacional de Realojos dirigido a reubicar población que se encuentra en áreas no regularizables"
"521","Prog de Rehabilitación y Consolidación Urbano Habitacional","17","Desarrollar estrategias para la consolidación de barrios y la rehabilitación de áreas del tejido formal, localizadas en las periferias críticas de pueblos y ciudades de todo el país"
"522","Programa de Actuación Integrada","17","Desarrollar estrategias y acciones que permitan el crecimiento planificado de las ciudades, mediante acuerdos interinstitucionales, público - privados para urbanizar  terrenos, integrando sectores sociales heterogéneos"
"523","Política Nac de Alquileres de Vivienda de Interés Social","17","Diseñar y promover una política de alquileres destinada a la vivienda de interés social"
"524","Vivienda Rural y pequeñas localidades","17","Contribuir a la construcción de un hábitat sostenible de la población que vive y/o trabaja en el medio rural, en el marco de las políticas de desarrollo integral (productivo, social, ambiental, territorial) del quinquenio"
"525","Pol de incentivo a la inv priv en Vivienda de Interés Social","17","Desarrollar instrumentos de participación del ahorro privado y la inversión privada en producción de vivienda de interés social"
"540","Generación, distribución y definición de la política energética","18","Coordinar las políticas a fin de garantizar el acceso adecuado a la energía para todos los sectores sociales, productivos y regiones del país."
"2003","Servicio de Retiro Militar - Asistencia","37","Servicio de Retiro Militar - Asistencia
"
"2002","Servicio de Retiro Policial - Asistencia","37","Servicio de Retiro Policial - Asistencia
"
"2004","Cajas Paraestatales","37","Cajas Paraestatales"
"2001","BPS - Asistencia Financiera neta","37","BPS - Asistencia Financiera neta"
"2005","Beneficios impositivos al desarrollo productivo","7","Beneficios impositivos al desarrollo productivo"
"2006","Oficinas de Seguridad Social","37","Oficinas de Seguridad Social"
